Date,BTC,ETH,XRP,ADA
3/19/2016,410.2,N/A,N/A,N/A
3/20/2016,411.27,N/A,N/A,N/A
3/21/2016,412,N/A,N/A,N/A
3/22/2016,416.66,N/A,N/A,N/A
3/23/2016,417.53,N/A,N/A,N/A
3/24/2016,412.95,N/A,N/A,N/A
3/25/2016,416.41,N/A,N/A,N/A
3/26/2016,416.97,N/A,N/A,N/A
3/27/2016,425.3,N/A,N/A,N/A
3/28/2016,423,N/A,N/A,N/A
3/29/2016,416.39,N/A,N/A,N/A
3/30/2016,412.79,N/A,N/A,N/A
3/31/2016,416.03,N/A,N/A,N/A
4/1/2016,417.68,N/A,N/A,N/A
4/2/2016,419.95,N/A,N/A,N/A
4/3/2016,420.16,N/A,N/A,N/A
4/4/2016,419.47,N/A,N/A,N/A
4/5/2016,422.36,N/A,N/A,N/A
4/6/2016,421.46,N/A,N/A,N/A
4/7/2016,421.99,N/A,N/A,N/A
4/8/2016,419.48,N/A,N/A,N/A
4/9/2016,419.46,N/A,N/A,N/A
4/10/2016,423.4,N/A,N/A,N/A
4/11/2016,423.94,N/A,N/A,N/A
4/12/2016,427.8,N/A,N/A,N/A
4/13/2016,425.58,N/A,N/A,N/A
4/14/2016,426.32,N/A,N/A,N/A
4/15/2016,430.93,N/A,N/A,N/A
4/16/2016,433.39,N/A,N/A,N/A
4/17/2016,431,N/A,N/A,N/A
4/18/2016,430.97,N/A,N/A,N/A
4/19/2016,437.06,N/A,N/A,N/A
4/20/2016,442.96,N/A,N/A,N/A
4/21/2016,452.25,N/A,N/A,N/A
4/22/2016,448.41,N/A,N/A,N/A
4/23/2016,455.69,N/A,N/A,N/A
4/24/2016,464.46,N/A,N/A,N/A
4/25/2016,466.17,N/A,N/A,N/A
4/26/2016,470.59,N/A,N/A,N/A
4/27/2016,445.31,N/A,N/A,N/A
4/28/2016,451.68,N/A,N/A,N/A
4/29/2016,458.82,N/A,N/A,N/A
4/30/2016,454.02,N/A,N/A,N/A
5/1/2016,456.98,N/A,N/A,N/A
5/2/2016,446.42,N/A,N/A,N/A
5/3/2016,452.21,N/A,N/A,N/A
5/4/2016,448.68,N/A,N/A,N/A
5/5/2016,449.98,N/A,N/A,N/A
5/6/2016,462.31,N/A,N/A,N/A
5/7/2016,461.91,N/A,N/A,N/A
5/8/2016,462.79,N/A,N/A,N/A
5/9/2016,464.16,N/A,N/A,N/A
5/10/2016,452.78,N/A,N/A,N/A
5/11/2016,454.37,N/A,N/A,N/A
5/12/2016,456.48,N/A,N/A,N/A
5/13/2016,457.98,N/A,N/A,N/A
5/14/2016,458.9,N/A,N/A,N/A
5/15/2016,461.47,N/A,N/A,N/A
5/16/2016,455.66,N/A,N/A,N/A
5/17/2016,454.19,N/A,N/A,N/A
5/18/2016,455.56,N/A,N/A,N/A
